no,구,구분,읍면동명,투표구명,투표소,주소,선거인수,투표수,PYS,OSH,SJH,HKY,OTY,LSB,BYK,KJA,SMS,JDH,LDY,SJY,계,무효,기권수
1,Jongno,투표소,CHWHJ,청운효자동제1투,"청운초등학교(2층, 체육관)",서울특별시 종로구 자하문로 105(청운동),2428,1187,404,732,9,10,3,3,0,7,4,0,0,3,1175,12,1241
2,Jongno,투표소,CHWHJ,청운효자동제2투,"서울농학교(1층, 대강당)",서울특별시 종로구 필운대로 103(신교동),2408,1157,440,661,6,15,4,3,0,8,1,0,0,13,1151,6,1251
3,Jongno,투표소,CHWHJ,청운효자동제3투,"청운효자동 자치회관(1층, 회의실)",서울특별시 종로구 자하문로19길 36(옥인동),2503,1274,554,638,12,19,0,4,0,13,9,0,0,17,1266,8,1229
4,Jongno,투표소,SJ,사직동제1투,"서울생활문화지원센터 체부(1층, 체부홀)",서울특별시 종로구 자하문로1나길 3-2(체부동),2305,919,354,530,8,6,3,0,0,2,3,0,0,10,916,3,1386
5,Jongno,투표소,SJ,사직동제2투,광화문스페이스본 101동 북카페(1층),"서울특별시 종로구 사직로8길 4(사직동, 광화문풍림스페이스본)",4191,2267,527,1666,10,13,8,4,0,14,3,0,1,14,2260,7,1924
6,Jongno,투표소,SCH,삼청동투표소,"삼청동주민센터(1층, 민원실)",서울특별시 종로구 삼청로 107(삼청동),1647,777,235,510,8,9,2,0,0,6,1,0,0,2,773,4,870
7,Jongno,투표소,BA,부암동제1투,"자하문셀프주유소(1층, 커피익스프레스)",서울특별시 종로구 자하문로 248(부암동),2468,1167,451,652,9,19,5,0,0,4,3,0,1,10,1154,13,1301
8,Jongno,투표소,BA,부암동제2투,"세검정초등학교(1층, 체육관)",서울특별시 종로구 세검정로9길 1(신영동),2204,1171,489,644,8,9,1,2,0,5,2,1,0,6,1167,4,1033
9,Jongno,투표소,BA,부암동제3투,"상명대학교사범대학부속초등학교(1층, 도서실)",서울특별시 종로구 홍지문2길 1(홍지동),1773,896,294,572,3,11,0,2,1,2,3,0,0,4,892,4,877
10,Jongno,투표소,PCH,평창동제1투,"평창동주민센터(지하1층, 대강당)",서울특별시 종로구 평창문화로 65(평창동),2521,1158,360,759,8,12,2,1,0,4,2,0,0,6,1154,4,1363
11,Jongno,투표소,PCH,평창동제2투,"금보성아트센터(1층, 전시장)",서울특별시 종로구 평창36길 20(평창동),3460,1732,371,1315,4,9,4,2,0,10,1,2,0,8,1726,6,1728
12,Jongno,투표소,PCH,평창동제3투,"하비에르국제학교(1층, 체육관)",서울특별시 종로구 비봉길 23(구기동),1992,1165,333,774,9,15,2,0,0,9,3,0,0,10,1155,10,827
13,Jongno,투표소,PCH,평창동제4투,"렉스펠리스아파트(1층, 주차장)","서울특별시 종로구 진흥로22나길 18(구기동, 렉스팰리스)",1970,1110,409,654,5,14,2,1,1,5,5,1,0,8,1105,5,860
14,Jongno,투표소,PCH,평창동제5투,"종로치매지원센터(3층, 강당)",서울특별시 종로구 평창문화로 50(평창동),1959,986,264,686,6,11,2,5,0,4,0,1,1,4,984,2,973
15,Jongno,투표소,MA,무악동제1투,"종로노인종합복지관 무악센터(5층, 강당)",서울특별시 종로구 통일로14길 30(무악동),1930,1044,335,664,5,9,1,2,0,13,1,2,0,7,1039,5,886
16,Jongno,투표소,MA,무악동제2투,"무악동주민센터(4층, 강당)",서울특별시 종로구 통일로14길 36(무악동),2759,1391,479,857,4,13,3,6,0,10,2,1,0,9,1384,7,1368
17,Jongno,투표소,KN,교남동제1투,"교남동주민센터(4층, 강당)",서울특별시 종로구 송월길 154(행촌동),1789,766,335,388,5,12,1,2,0,5,3,1,1,4,757,9,1023
18,Jongno,투표소,KN,교남동제2투,"교남동주민센터(2층, 취미교실B)",서울특별시 종로구 송월길 154(행촌동),1635,772,293,439,6,7,5,3,0,3,0,0,1,2,759,13,863
19,Jongno,투표소,KN,교남동제3투,"경희궁자이2단지아파트 주민공동시설(지하1층, 207동)","서울특별시 종로구 송월길 99(홍파동과 송월동 경계선,경희궁자이 2단지)",2878,1780,440,1273,5,18,3,5,0,14,3,0,3,7,1771,9,1098
20,Jongno,투표소,KH,가회동투표소,"가회동주민센터(지하1층, 대강당)",서울특별시 종로구 북촌로 35(가회동),2681,1275,471,748,4,13,5,2,0,11,6,0,0,8,1268,7,1406
21,Jongno,투표소,JR1·2·3·4,종로1·2·3·4가동제1투,"교동초등학교(1층, 현관로비)",서울특별시 종로구 삼일대로 446(경운동),2587,877,291,547,1,21,4,1,0,2,0,0,0,5,872,5,1710
22,Jongno,투표소,JR1·2·3·4,종로1·2·3·4가동제2투,종로1234가동주민센터(3층 강당),서울특별시 종로구 삼일대로30길 47(익선동),3069,1308,488,773,10,12,3,2,0,7,1,1,1,2,1300,8,1761
23,Jongno,투표소,JR5·6,종로5·6가동제1투,"효제초등학교(1층, 체육관)",서울특별시 종로구 대학로 12(효제동),2091,821,252,532,6,8,0,3,0,5,3,0,0,6,815,6,1270
24,Jongno,투표소,JR5·6,종로5·6가동제2투,"종로5.6가동주민센터(4층, 강당)",서울특별시 종로구 종로35가길 19(효제동),1818,736,307,396,1,12,1,1,0,7,2,1,0,4,732,4,1082
25,Jongno,투표소,EH,이화동제1투,"좋은공연안내센터(1층, 로비)",서울특별시 종로구 대학로 104(동숭동),2643,1241,525,640,13,19,6,4,0,8,6,0,0,3,1224,17,1402
26,Jongno,투표소,EH,이화동제2투,"이화동주민센터(4층, 다목적실)",서울특별시 종로구 이화장길 33(이화동),2548,1081,380,636,8,18,3,6,0,6,4,0,0,5,1066,15,1467
27,Jongno,투표소,HHW,혜화동제1투,"올림픽기념국민생활관(1층, 로비)",서울특별시 종로구 성균관로 91(혜화동),2643,1313,503,726,17,14,4,1,0,17,2,2,2,5,1293,20,1330
28,Jongno,투표소,HHW,혜화동제2투,"혜화동주민센터(2층, 혜화홀)",서울특별시 종로구 혜화로 12(혜화동),2670,1147,368,698,13,18,4,6,0,11,7,0,0,10,1135,12,1523
29,Jongno,투표소,HHW,혜화동제3투,"동성고등학교 동성100주년기념관(1층, 혜화아트센터)",서울특별시 종로구 대학로 156(혜화동),2394,1128,348,721,11,11,5,2,0,10,4,1,0,6,1119,9,1266
30,Jongno,투표소,HHW,혜화동제4투,"종로구 육아종합지원센터(4층, 다목적교육실)",서울특별시 종로구 성균관로1길 6-3(명륜3가),1919,845,301,472,20,14,1,4,0,12,1,0,1,7,833,12,1074
31,Jongno,투표소,HHW,혜화동제5투,"명륜동와룡문화센터(4층,와룡스포츠센터)",서울특별시 종로구 명륜길 26(명륜3가),1581,700,277,373,7,8,2,4,0,9,1,1,0,7,689,11,881
32,Jongno,투표소,CHS1,창신제1동제1투,"창신1동주민센터(1층, 민원실)",서울특별시 종로구 지봉로 8-6(창신동),1188,382,166,206,0,2,2,2,0,0,1,0,0,0,379,3,806
33,Jongno,투표소,CHS1,창신제1동제2투,"종로구민회관(1층, 로비)",서울특별시 종로구 지봉로5길 7-5(창신동),2567,1164,498,626,13,14,2,1,0,3,0,0,1,1,1159,5,1403
34,Jongno,투표소,CHS2,창신제2동제1투,"동부여성문화센터(1층, 체조실)",서울특별시 종로구 창신길 124(창신동),1673,570,238,319,2,4,0,0,0,0,2,0,0,2,567,3,1103
35,Jongno,투표소,CHS2,창신제2동제2투,"창신2동 마을회관(1층, 다목적실)",서울특별시 종로구 낙산성곽1길 37(창신동),2346,1026,472,521,5,10,1,2,1,1,1,0,0,2,1016,10,1320
36,Jongno,투표소,CHS2,창신제2동제3투,"동부여성문화센터(2층, 사무실)",서울특별시 종로구 창신길 124(창신동),2157,897,408,453,2,9,1,3,0,5,1,0,0,2,884,13,1260
37,Jongno,투표소,CHS3,창신제3동제1투,"창신3동주민센터(3층, 다목적실)","서울특별시 종로구 지봉로 87(창신동,창신3동주민센터)",1595,660,300,327,4,7,3,2,0,5,1,0,1,1,651,9,935
38,Jongno,투표소,CHS3,창신제3동제2투,창신쌍용2단지아파트 경로당(1층),"서울특별시 종로구 낙산길 198(창신동, 창신쌍용아파트 2지구) 경로당",2756,1368,509,799,8,19,0,6,0,10,3,0,1,7,1362,6,1388
39,Jongno,투표소,SI1,숭인제1동제1투,"숭인1동주민센터(1층, 다목적실)",서울특별시 종로구 지봉로 86(숭인동),2314,871,340,499,3,5,2,4,0,4,0,1,0,6,864,7,1443
40,Jongno,투표소,SI1,숭인제1동제2투,"숭인1동주민센터(5층, 대강당)",서울특별시 종로구 지봉로 86(숭인동),1776,773,323,424,6,7,1,2,1,2,0,0,0,3,769,4,1003
41,Jongno,투표소,SI2,숭인제2동제1투,"한국마사회 종로지사(1층, 로비)",서울특별시 종로구 난계로29길 49(숭인동),2784,1010,388,542,10,18,6,3,0,22,6,0,0,5,1000,10,1774
42,Jongno,투표소,SI2,숭인제2동제2투,"숭인2동주민센터(4층, 강당)",서울특별시 종로구 종로65길 10(숭인동),2194,872,351,490,5,12,1,0,0,6,1,0,0,1,867,5,1322
43,Jongno,투표소,SI2,숭인제2동제3투,"서울직업전문학교 본관(1층, 로비)",서울특별시 종로구 종로 375(숭인동),2209,876,421,419,5,7,1,3,1,7,0,0,1,0,865,11,1333
44,Jung,투표소,SK,소공동제1투,"소공동주민센터(4층, 강당)",서울특별시 중구 남대문로1길 31-5(북창동),420,136,40,92,0,3,0,0,0,0,0,0,0,0,135,1,284
45,Jung,투표소,SK,소공동제2투,"창덕여자중학교(1층, 대강당)",서울특별시 중구 정동길 22(정동),1016,509,165,312,4,7,1,2,0,7,2,0,0,6,506,3,507
46,Jung,투표소,HH,회현동제1투,"회현동주민센터(3층, 강당)",서울특별시 중구 퇴계로8길 46(회현동1가),3111,1161,344,781,6,13,0,2,0,3,1,1,0,3,1154,7,1950
47,Jung,투표소,HH,회현동제2투,남대문5가경로당(1층),서울특별시 중구 후암로60길 23(남대문로5가),750,329,128,193,2,3,0,0,1,1,0,0,0,1,329,0,421
48,Jung,투표소,M,명동제1투,"명동주민센터(3층, 강당)",서울특별시 중구 퇴계로20길 3(남산동2가),1907,727,235,466,2,9,2,2,0,3,0,0,0,5,724,3,1180
49,Jung,투표소,M,명동제2투,"중구문화원(1층, 전시실)",서울특별시 중구 청계천로 86(장교동),149,40,13,26,0,0,1,0,0,0,0,0,0,0,40,0,109
50,Jung,투표소,P,필동제1투,"필동주민센터(2층, 강당)",서울특별시 중구 퇴계로36길 42(필동2가),1396,573,208,329,5,11,3,1,0,5,1,1,0,2,566,7,823
51,Jung,투표소,P,필동제2투,필동경로당(1층),서울특별시 중구 필동로 11(필동2가),1452,671,215,421,1,10,2,4,0,5,2,0,0,5,665,6,781
52,Jung,투표소,JCH,장충동제1투,"장충동주민센터(5층, 대강당)",서울특별시 중구 장충단로8길 22(장충동1가),1734,725,236,447,6,6,3,2,0,8,3,0,0,1,712,13,1009
53,Jung,투표소,JCH,장충동제2투,"충무초등학교(3층, 대강당)",서울특별시 중구 퇴계로50길 13(장충동2가),1635,697,278,375,8,8,1,4,0,6,5,0,0,3,688,9,938
54,Jung,투표소,KH,광희동제1투,"광희동주민센터(5층, 대강당)",서울특별시 중구 퇴계로 303-9(광희동1가),1875,649,225,394,4,9,1,1,0,3,1,2,1,1,642,7,1226
55,Jung,투표소,KH,광희동제2투,"덕수중학교(1층, 진로진학상담실)",서울특별시 중구 마른내로9길 10(인현동2가),2273,1079,306,729,4,6,3,1,0,15,3,1,1,4,1073,6,1194
56,Jung,투표소,EJR,을지로동제1투,"을지로동주민센터(4층, 강당)",서울특별시 중구 충무로9길 19(을지로3가),794,261,84,167,0,3,1,0,0,3,0,0,0,1,259,2,533
57,Jung,투표소,EJR,을지로동제2투,"을지경로당(1층, 다용도공간)",서울특별시 중구 을지로28길 16(을지로4가),619,306,107,190,1,4,0,1,0,0,0,0,0,1,304,2,313
58,Jung,투표소,SD,신당동제1투,"신당누리센터(5층, 배움누리방2)",서울특별시 중구 다산로33길 3(신당동),2139,773,304,431,5,11,2,2,0,2,5,0,0,3,765,8,1366
59,Jung,투표소,SD,신당동제2투,"광희초등학교(1층, 연수운영실)",서울특별시 중구 다산로 269(신당동),1842,793,237,523,5,6,0,1,0,10,3,0,0,3,788,5,1049
60,Jung,투표소,SD,신당동제3투,신일경로당(1층),서울특별시 중구 청구로 121(신당동),1944,841,329,477,4,7,1,2,0,5,4,1,1,2,833,8,1103
61,Jung,투표소,DS,다산동제1투,"다산동주민센터(1층, 대강당)",서울특별시 중구 동호로15길 50(신당동),2661,1102,418,629,6,13,3,2,0,12,2,0,2,6,1093,9,1559
62,Jung,투표소,DS,다산동제2투,"장충초등학교 별관동 소강당(1층, 소체육실)",서울특별시 중구 청구로17길 40(신당동),2681,1235,441,727,8,18,4,3,0,6,1,1,2,7,1218,17,1446
63,Jung,투표소,DS,다산동제3투,"장충고등학교 화승관(1층, 도서관)",서울특별시 중구 동호로15길 93(신당동),2254,928,377,495,5,12,2,3,0,12,2,2,0,9,919,9,1326
64,Jung,투표소,DS,다산동제4투,"장수경로당(1층, 할머니방)",서울특별시 중구 동호로11다길 18(신당동),2552,1197,451,676,5,19,3,1,0,9,7,0,1,8,1180,17,1355
65,Jung,투표소,YS,약수동제1투,"약수동주민센터(4층, 강당)",서울특별시 중구 다산로 92(신당동),1632,615,201,390,3,9,0,1,0,4,0,0,0,3,611,4,1017
66,Jung,투표소,YS,약수동제2투,"동호경로당(1층, 할아버지방)",서울특별시 중구 동호로8길 42-22(신당동),1865,923,384,506,2,7,2,3,0,5,0,2,0,5,916,7,942
67,Jung,투표소,YS,약수동제3투,"남산타운아파트 (1층, 입주자대표회의실)",서울특별시 중구 다산로 32(신당동),3054,1716,488,1182,4,11,4,2,0,8,2,0,0,6,1707,9,1338
68,Jung,투표소,YS,약수동제4투,"남산타운아파트 25동(1층, 25동 복지관)",서울특별시 중구 다산로 32(신당동),2804,1676,510,1135,6,4,1,3,0,4,0,0,0,6,1669,7,1128
69,Jung,투표소,YS,약수동제5투,"중구청소년센터(지하1층, 식당)",서울특별시 중구 동호로5길 19(신당동),2617,1237,536,654,8,21,0,2,0,6,1,0,1,2,1231,6,1380
70,Jung,투표소,CHK,청구동제1투,청구초등학교 야구부실내훈련장(1층),서울특별시 중구 다산로 170(신당동),1381,606,223,356,5,11,0,2,0,2,1,1,0,0,601,5,775
71,Jung,투표소,CHK,청구동제2투,"청구노인복지센터(지하1층, 어울림실)",서울특별시 중구 청구로3길 69(신당동),1952,705,269,389,5,11,2,1,1,7,2,0,2,8,697,8,1247
72,Jung,투표소,CHK,청구동제3투,약수유치원(1층),서울특별시 중구 동호로10길 30(신당동),2164,1431,424,957,6,9,4,7,0,13,1,0,0,1,1422,9,733
73,Jung,투표소,CHK,청구동제4투,약수하이츠경로당(1층),서울특별시 중구 동호로10길 30(신당동),1782,1055,422,589,5,14,2,3,0,5,2,1,0,5,1048,7,727
74,Jung,투표소,CHK,청구동제5투,삼성아파트경로당(1층),서울특별시 중구 청구로1길 23(신당동),2585,1474,489,939,8,8,1,4,0,4,1,0,1,7,1462,12,1111
75,Jung,투표소,SD5,신당제5동제1투,"신당제5동주민센터(3층, 강당)",서울특별시 중구 다산로44길 85(신당동),2208,784,304,442,4,8,5,0,0,4,2,0,0,5,774,10,1424
76,Jung,투표소,SD5,신당제5동제2투,"유락종합사회복지관 (1층, 로비)",서울특별시 중구 퇴계로 460(신당동),3223,1333,501,789,9,8,1,0,0,8,2,1,2,3,1324,9,1890
77,Jung,투표소,SD5,신당제5동제3투,한진해모로아파트 경로당(1층),서울특별시 중구 왕십리로39길 30(신당동),1880,793,327,427,5,10,2,3,0,7,0,0,1,3,785,8,1087
78,Jung,투표소,DH,동화동제1투,"동화동주민센터(1층, 펀펀카페)",서울특별시 중구 다산로36길 100(신당동),1282,551,183,342,3,6,1,3,0,7,1,0,0,4,550,1,731
79,Jung,투표소,DH,동화동제2투,"동화동주민센터(지하1층, 대강당)",서울특별시 중구 다산로36길 100(신당동),1827,961,321,591,2,16,1,1,0,13,2,1,1,2,951,10,866
80,Jung,투표소,DH,동화동제3투,"흥인초등학교(2층, 보건교육실)",서울특별시 중구 청구로6길 11(신당동),2125,1058,317,705,2,5,0,2,0,14,3,1,0,1,1050,8,1067
81,Jung,투표소,DH,동화동제4투,동화동 구립경로당(1층),서울특별시 중구 퇴계로80길 52(신당동),1611,697,287,376,1,9,1,2,1,8,5,0,0,1,691,6,914
82,Jung,투표소,HWH,황학동제1투,"황학동주민센터(4층, 강당)",서울특별시 중구 난계로11길 52(황학동),4025,1509,614,815,9,24,3,1,0,17,6,0,1,7,1497,12,2516
83,Jung,투표소,HWH,황학동제2투,황학어린이집옆 코사마트앞 건물(1층),서울특별시 중구 마장로15길 16(황학동),2339,876,350,480,3,19,2,4,0,7,3,0,2,3,873,3,1463
84,Jung,투표소,HWH,황학동제3투,"롯데캐슬베네치아 102동(7층, 다용도실)","서울특별시 중구 청계천로 400(황학동, 롯데캐슬베네치아)",3275,1655,606,1001,3,23,1,6,0,5,2,0,2,2,1651,4,1620
85,Jung,투표소,JR,중림동제1투,"중림동주민센터(1층, 다목적실)",서울특별시 중구 만리재로 175(만리동2가),2819,1395,424,926,3,8,5,3,0,9,1,0,0,11,1390,5,1424
86,Jung,투표소,JR,중림동제2투,"중림종합사회복지관(3층, 대강당)",서울특별시 중구 서소문로6길 16(중림동),2683,1223,513,670,6,14,1,1,0,6,2,1,0,2,1216,7,1460
87,Jung,투표소,JR,중림동제3투,"중림삼성사이버빌리지 종합지원센터(1층, 주민회의실)",서울특별시 중구 중림로 10(중림동),2632,1533,549,922,4,23,0,3,0,11,4,0,0,5,1521,12,1099
88,Yongsan,투표소,HA,후암동제1투,"후암동주민센터(3층, 대강당)",서울특별시 용산구 후암로 32-6(후암동),3499,1478,635,780,12,22,1,3,0,9,1,1,0,4,1468,10,2021
89,Yongsan,투표소,HA,후암동제2투,"후암초등학교(1층, 방과후교육실)",서울특별시 용산구 두텁바위로 140(후암동),2619,1060,433,564,7,15,4,4,0,9,2,0,0,11,1049,11,1559
90,Yongsan,투표소,HA,후암동제3투,"삼광초등학교(1층, 체육관)",서울특별시 용산구 두텁바위로1나길 19(후암동),2731,1214,452,712,4,14,2,3,0,9,3,0,0,8,1207,7,1517
91,Yongsan,투표소,HA,후암동제4투,"혜심원(지하1층, 식당)",서울특별시 용산구 소월로2나길 18(후암동),2924,1305,502,737,4,23,1,4,0,8,6,1,2,8,1296,9,1619
92,Yongsan,투표소,YS2,용산2가동제1투,"용산2가동주민센터(3층, 강당)",서울특별시 용산구 신흥로 90(용산동2가),2404,891,362,480,9,9,3,1,0,6,1,0,0,12,883,8,1513
93,Yongsan,투표소,YS2,용산2가동제2투,"용암경로당(1층, 할아버지방)",서울특별시 용산구 신흥로3가길 21-7(용산동2가),1689,702,253,403,9,6,2,3,0,9,3,0,0,8,696,6,987
94,Yongsan,투표소,YS2,용산2가동제3투,"보성여자고등학교(1층, 체육관)",서울특별시 용산구 신흥로3가길 66(용산동2가),1482,644,258,342,5,11,5,0,0,3,2,0,2,8,636,8,838
95,Yongsan,투표소,YS2,용산2가동제4투,"용산고등학교(1층, 강당)",서울특별시 용산구 두텁바위로 60(용산동2가),1651,665,279,356,3,7,1,2,0,5,1,1,0,4,659,6,986
96,Yongsan,투표소,NY,남영동제1투,"갈월종합사회복지관(2층, 취업교실)",서울특별시 용산구 두텁바위로 25(갈월동),3085,1157,495,612,8,18,2,4,0,7,1,1,1,3,1152,5,1928
97,Yongsan,투표소,NY,남영동제2투,"서울버스노조회관(1층, 로비)",서울특별시 용산구 한강대로102길 17(동자동),2844,1143,446,648,6,10,5,1,0,5,3,2,0,5,1131,12,1701
98,Yongsan,투표소,CHP,청파동제1투,"청파도서관·청파동자치회관 별관(3층, 대강당)",서울특별시 용산구 청파로93길 27(서계동),1752,753,251,470,2,10,1,1,0,4,2,1,1,4,747,6,999
99,Yongsan,투표소,CHP,청파동제2투,"청파노인복지센터(1층, 으뜸마당)",서울특별시 용산구 청파로83길 26(서계동),2041,815,359,420,3,16,1,1,1,1,2,0,0,5,809,6,1226
100,Yongsan,투표소,CHP,청파동제3투,"청파초등학교 (2층, 체육관)",서울특별시 용산구 효창원로 228(청파동2가),2436,1042,451,538,7,13,2,4,0,10,2,1,0,8,1036,6,1394
